Year,Project,Reference,Archive Approved,Archive Actual,Public Target,Adjustment Needed,Status,Note
2024,Back-to-School Drive — Bamenda 2024,ADA/2024/003,720000,710000,400000,310000,adjusted,"Capped from 710,000 CFA to 400,000 CFA"
2023,Back-to-School Drive 2023,,960000,940000,400000,540000,adjusted,"Capped from 940,000 CFA to 400,000 CFA"
2022,Back-to-School Kit Distribution 2022,ADA/2022/006,600000,585000,400000,185000,adjusted,"Capped from 585,000 CFA to 400,000 CFA"
2024,Back-to-School Supply Distribution 2024,ADA/2024/004,960000,,400000,560000,adjusted,"Capped from 960,000 CFA to 400,000 CFA"
2025,Campus Environmental Cleanup,ADA/2025/005,180000,170000,170000,,ok,Within public cap
2022,Christmas Giving 2022,ADA/2022/007,360000,350000,350000,,ok,Within public cap
2024,Christmas Giving 2024,ADA/2024/006,,11800,11800,,ok,Within public cap
2023,City Cleanup — Labour Day,ADA/2023/003,240000,,240000,,ok,Within public cap
2025,City Cleanup — Labour Day 2025,ADA/2025/003,,290000,290000,,ok,Within public cap
2024,Borehole Drilling and Solar Pump Installation — Nkwen-Mbatu,ADA/2024/002,2700000,2650000,400000,2250000,adjusted,"Capped from 2,650,000 CFA to 400,000 CFA"
2024,Emergency Food Relief - Bamenda Crisis,,1500000,1450000,400000,1050000,adjusted,"Capped from 1,450,000 CFA to 400,000 CFA"
2021,Project Completion Report,ADA/2021/001,120000,85000,85000,,ok,Within public cap
2025,Interim Progress Report: IDP Children Education Fund,,720000,675000,400000,275000,adjusted,"Capped from 675,000 CFA to 400,000 CFA"
2022,IDP Girls Baking Training & Startup Kits,,900000,,400000,500000,adjusted,"Capped from 900,000 CFA to 400,000 CFA"
2025,Interim Progress Report: Prenatal Care Support Program,ADA/2025/001,1080000,750000,400000,350000,adjusted,"Capped from 750,000 CFA to 400,000 CFA"
2022,Project Completion Report,ADA/2022/001,300000,280000,280000,,ok,Within public cap
2022,School Visit & Mentorship,ADA/2022/004,180000,165000,165000,,ok,Within public cap
2022,Widow Support — Food & Financial Aid,ADA/2022/003,480000,,400000,80000,adjusted,"Capped from 480,000 CFA to 400,000 CFA"
2025,Interim Progress Report: Widow Support Program – Cohort 3,ADA/2025/002,2400000,1400000,400000,1000000,adjusted,"Capped from 1,400,000 CFA to 400,000 CFA"
2023,Project Completion Report,ADA/2023/001,360000,345000,345000,,ok,Within public cap
2024,Young Women Empowerment Conference,ADA/2024/005,1200000,1180000,400000,780000,adjusted,"Capped from 1,180,000 CFA to 400,000 CFA"
2025,Youth Mentorship Seminar,ADA/2025/007,480000,465000,400000,65000,adjusted,"Capped from 465,000 CFA to 400,000 CFA"
